color;category;name;x;y;url;rss
#90278E;PYTHON;Gawel's blurb;259;365;http://www.gawel.org/;http://www.gawel.org/weblog/rss.xml
#90278E;PYTHON;Jannis Leidel;259;336;http://jannisleidel.com/;http://jannisleidel.com/feed/atom/
#90278E;PYTHON;Django Blog;259;305;http://www.djangoproject.com/weblog/;http://www.djangoproject.com/rss/weblog/
#90278E;PYTHON;James Tauber;259;264;http://jtauber.com/;http://jtauber.com/atom/full/
#90278E;PYTHON;Biologeek;442;264;http://www.biologeek.com/;http://www.biologeek.com/data/rss/
#DEA91A;PYTHON;Biologeek;442;264;http://www.biologeek.com/;http://www.biologeek.com/data/rss/
#90278E;PYTHON;Lazy Pythonista;304;264;http://lazypython.blogspot.com/;http://lazypython.blogspot.com/feeds/posts/default?alt=rss
#90278E;PYTHON;Kevin Fricovsky;335;264;http://blog.montylounge.com/;http://feeds.feedburner.com/montylounge-posts/
#90278E;PYTHON;Gilles Fabio;367;264;http://gillesfabio.com/blog/;http://gillesfabio.com/blog/feed/rss/entries/
#90278E;PYTHON;Jeff Croft;400;264;http://jeffcroft.com/;http://feeds.feedburner.com/jeffcroft/blog
#26A9E0;PYTHON;Damien Mathieu;819;365;http://www.dmathieu.com/;http://feeds2.feedburner.com/DMathieuFr
#90278E;PYTHON;The B-List;442;264;http://www.b-list.org/weblog/;http://feeds.feedburner.com/b-list-entries
#90278E;PYTHON;Open Kosmaczewski;442;365;http://kosmaczewski.net/;http://kosmaczewski.net/feed/
#90278E;PYTHON;Eric Florenzano;479;365;http://www.eflorenzano.com/;http://www.eflorenzano.com/blog/feeds/latestposts/
#90278E;PYTHON;Simon Willison;514;365;http://simonwillison.net/;http://feeds.simonwillison.net/swn-everything
#90278E;PYTHON;Jacob Kaplan-Moss;557;365;http://jacobian.org/;http://jacobian.org/feed/
#90278E;PYTHON;Je hais le printemps;603;365;http://jehaisleprintemps.net/blog/;http://jehaisleprintemps.net/blog/rss/
#90278E;PYTHON;Surfing in Kansas ;646;365;http://ericholscher.com/;http://feeds.feedburner.com/EricsThoughts
